"Departamento","Pedro Castillo","Electores","Proporción","Porcentaje"
"Amazonas","34464","306186","0.1125590327448","11.25590327448"
"Ancash","110620","886265","0.124815941056","12.4815941056"
"Apurimac","88812","316000","0.28105063291139","28.105063291139"
"Arequipa","256224","1145268","0.22372405410786","22.372405410786"
"Ayacucho","130224","473282","0.27515096707671","27.515096707671"
"Cajamarca","232418","1103247","0.21066723952116","21.066723952116"
"Callao","33750","824496","0.040934097921639","4.0934097921639"
"Cusco","232178","1025280","0.22645326154806","22.645326154806"
"Huancavelica","79895","299843","0.26645611203196","26.645611203196"
"Huanuco","110978","586411","0.18924951953493","18.924951953493"
"Ica","56627","651364","0.086936029623989","8.6936029623989"
"Junín","131438","982556","0.13377151022435","13.377151022435"
"La Libertad","90324","1429469","0.063187099545356","6.3187099545356"
"Lambayeque","73279","977656","0.074953766969159","7.4953766969159"
"Lima","416743","8322644","0.050073390138999","5.0073390138999"
"Loreto","15662","699964","0.022375436451017","2.2375436451017"
"Madre de Dios","23945","116513","0.20551354784445","20.551354784445"
"Moquegua","33665","148367","0.22690355672083","22.690355672083"
"Pasco","34187","200682","0.17035409254442","17.035409254442"
"Piura","71028","1396448","0.050863333256949","5.0863333256949"
"Puno","292218","922016","0.31693376253774","31.693376253774"
"San Martín","67000","636330","0.10529127968193","10.529127968193"
"Tacna","64521","282974","0.22801034724038","22.801034724038"
"Tumbes","7613","167771","0.045377329812661","4.5377329812661"
"Ucayali","26339","389889","0.067555124663686","6.7555124663686"
"Voto extranjero","10600","997033","0.010631543790426","1.0631543790426"
"","","","",""
"","","","",""
"","","","",""
